exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,238651844.257365465164185,51.562386989593506,294771877.863855063915253,24.133910894393921,,
,,115560153.448012679815292,75.413782835006714,294771877.863855063915253,35.382444858551025,,
,,115560153.448012679815292,90.119271993637085,294771877.863855063915253,46.787942886352539,,
,,115560153.448012679815292,105.158423900604248,294771877.863855063915253,69.694087028503418,,
,,115560153.448012679815292,148.875174999237061,50651728.962392166256905,111.251754999160767,,
,,56306216.723851501941681,162.880904912948608,50651728.962392166256905,133.659402847290039,,
,,52657907.121588915586472,195.207762956619263,50651728.962392166256905,158.845885992050171,,
,,52657907.121588915586472,221.795245885848999,50651728.962392166256905,179.148156881332397,,
,,52657907.121588915586472,255.098515987396240,50651728.962392166256905,210.193867921829224,,
,,52657907.121588915586472,289.380360841751099,50116338.238197013735771,237.486017942428589,,
,,52657907.121588915586472,340.529027938842773,50116338.238197013735771,313.950489997863770,,
,,52657907.121588915586472,405.181352853775024,50116338.238197013735771,357.068196058273315,,
,,52657907.121588915586472,482.428041934967041,50116338.238197013735771,399.492711067199707,,
,,52657907.121588915586472,530.078421831130981,50116338.238197013735771,484.515058994293213,,
,,47357570.706561557948589,600.500856876373291,49561485.917590722441673,599.554074048995972,,
,,47357570.706561557948589,858.944723844528198,49561485.917590722441673,742.762047052383423,,
,,47357570.706561557948589,1127.476800918579102,49561485.917590722441673,792.604475975036621,,
,,47357570.706561557948589,1224.144410848617554,49561485.917590722441673,850.665238857269287,,
,,47357570.706561557948589,1313.029632806777954,46731437.427371844649315,955.722892999649048,,
,,47357570.706561557948589,1417.745765924453735,46731437.427371844649315,1036.348949909210205,,
,,47357570.706561557948589,2164.196864843368530,46731437.427371844649315,1086.837692022323608,,
,,46913712.300657898187637,2715.364996910095215,46731437.427371844649315,1441.480241060256958,,
,,46913712.300657898187637,3060.034468889236450,46731437.427371844649315,1619.489856958389282,,
,,46913712.300657898187637,3322.716167926788330,46731437.427371844649315,1762.279609918594360,,
,,46913712.300657898187637,3562.973992824554443,46731437.427371844649315,1963.428340911865234,,
,,,,46731437.427371844649315,2076.499996900558472,,
,,,,46731437.427371844649315,2279.232337951660156,,
,,,,46731437.427371844649315,2742.025969982147217,,
