exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,288624998.674909889698029,55.701098918914795,227350544.729729801416397,72.546400070190430,600,
,,129412244.773359298706055,84.425406932830811,131944618.454732835292816,103.961052179336548,600,
,,129412244.773359298706055,109.445842027664185,131944618.454732835292816,149.698188066482544,600,
,,129412244.773359298706055,136.001625061035156,131944618.454732835292816,182.772718191146851,600,
,,75357623.041302397847176,204.491600990295410,88763871.721044600009918,257.380724191665649,600,
,,75357623.041302397847176,244.640553951263428,88763871.721044600009918,296.092961072921753,600,
,,75357623.041302397847176,282.982398033142090,75784353.467433243989944,352.642597198486328,600,
,,75357623.041302397847176,331.432514905929565,75784353.467433243989944,416.882489204406738,600,
,,66533868.751097843050957,401.951972007751465,75784353.467433243989944,568.551628112792969,600,
,,66533868.751097843050957,478.187242031097412,68670151.234491065144539,659.456475019454956,600,
,,66533868.751097843050957,626.129086971282959,68670151.234491065144539,781.319591999053955,600,
,,66533868.751097843050957,742.728491067886353,68670151.234491065144539,865.064112186431885,600,
,,66533868.751097843050957,836.181519031524658,68670151.234491065144539,1353.010298013687134,600,
,,66533868.751097843050957,937.600375890731812,64400498.766866296529770,1521.620364189147949,600,
,,66533868.751097843050957,1166.320249080657959,64400498.766866296529770,2164.664154052734375,600,
,,66533868.751097843050957,1277.256793022155762,64400498.766866296529770,2297.577218055725098,600,
,,66533868.751097843050957,1426.029043912887573,64400498.766866296529770,2552.169687986373901,600,
,,66533868.751097843050957,1600.555150032043457,64400498.766866296529770,2764.971042156219482,600,
,,66533868.751097843050957,1711.105470895767212,64400498.766866296529770,2952.140801191329956,600,
,,66533868.751097843050957,1817.733659982681274,,,,
,,66533868.751097843050957,2000.012805938720703,,,,
,,66533868.751097843050957,2125.657784938812256,,,,
,,66533868.751097843050957,2248.075100898742676,,,,
,,66533868.751097843050957,2459.878170013427734,,,,
,,66533868.751097843050957,2651.396564960479736,,,,
,,66533868.751097843050957,2788.122817039489746,,,,
,,66533868.751097843050957,2922.612566947937012,,,,
,,66533868.751097843050957,3108.718072891235352,,,,
,,66533868.751097843050957,3292.094775915145874,,,,
,,66533868.751097843050957,3447.303693056106567,,,,
