dataset,N,Service,p,cover,LowerBound,Sol_Form,gap %,time,MEM GB,#subareas_arrond,#subareas_EPCI,#subareas_canton,#subareas_commune,Tol gap Solution
original ,2037,cinema,134,canton,4245336998.97,4261057372.76,0.37,,,18,51,173,173,
original ,2037,cinema,173,canton,,4153264176.78,,4246.38,,18,50,188,190,
original ,2037,cinema,188,canton,,4140743351.60,,17749.33,,18,50,188,197,
original ,2037,cinema,192,canton,,3649639818.35,,1805.66,,18,50,188,200,
original ,2037,cinema,211,canton,,2734020529.36,,16460.76,,18,50,188,209,
original ,2037,cinema,230,canton,,2382181455.36,,1802,,18,50,188,228,
original ,2037,cinema,250,canton,,2184681638.67,,2195,,18,50,188,255,
original ,2037,cinema,288,canton,,1951476958.04,,1813,,18,51,188,351,
original ,2037,cinema,326,canton,,1800050126.84,,1695,,18,51,188,438,
original ,2037,cinema,500,canton,,1448454731.65,,2142,,18,51,188,478,
original ,2037,cinema,682,canton,,1312089714.71,,456,,18,51,188,524,
original ,2037,cinema,767,canton,,1274964522.93,,281,,18,51,188,566,
original ,2037,cinema,852,canton,,1247475903.02,,302,,18,51,188,597,
original ,2037,cinema,937,canton,,1226786049.08,0,1120.56,128,18,51,188,566,
original ,2037,cinema,1022,canton,,1211809353.53,0,198.9,128,18,51,188,597,
original ,2037,cinema,30,commune,Infeas,,,,,,,,,
original ,2037,cinema,41,commune,,15349417674.36,,892.6,,16,25,38.00,41,
original ,2037,cinema,46,commune,,9565529212.93,,2567.09,,14,24,42.00,46,
original ,2037,cinema,51,commune,7497573915.79,7534437529.69,0.49,,,14,24,46.00,51,
original ,2037,cinema,56,commune,6442974840.00,6473220997.60,0.47,,,14,22,46.00,56,
original ,2037,cinema,61,commune,5784441321.59,5838891710.58,0.93,,,16,24,50,61,
original ,2037,cinema,96,commune,4019141887.05,4058565698.04,0.97,,,17,32,75,96,
original ,2037,cinema,134,commune,3426870614.20,3426870614.20,0.57,,,18,40,98,134,
