instance;N=C;p;Blb;solution;gap;time;Method;
SJC1;100;10;17288,99;17288,99;0,00 %;1,9;Stef_15;
SJC2;200;15;33269,51;33270,94;0,00 %;3,25;Stef_15;
SJC3a;300;25;45335,16;45335,16;0,00 %;23,96;Stef_15;
SJC3b;300;30;40635,9;40635,9;0,00 %;2,47;Stef_15;
SJC4a;402;30;61925,51;61925,51;0,00 %;56,67;Stef_15;
SJC4b;402;40;52458,02;52458,02;0,00 %;6,26;Stef_15;
p3038_600;3,038;600;121596,38;122711,17;0,91 %;2685,38;Stef_15;
p3038_700;3,038;700;108679,98;109677,3;0,91 %;2239,84;Stef_15;
p3038_800;3,038;800;99089,87;100064,94;0,97 %;2819,26;Stef_15;
p3038_900;3,038;900;91258,33;92310,09;1,14 %;1578,17;Stef_15;
p3038_1000;3,038;1000;85102,19;85854,05;0,88 %;1874,08;Stef_15;
spain737_74_1;737;74;;8845;;1131,32;Stef_15;
spain737_74_2;737;74;;8870;;979,12;Stef_15;
spain737_148_1;737;148;;5901;;652,34;Stef_15;
spain737_148_2;737;148;;5914;;653,79;Stef_15;
lin318_005;318;5;180281,2;−;;−;Stef_15;
lin318_015;318;15;88901,56;−;;−;Stef_15;
lin318_040;318;40;47988,38;47988,38;0,00 %;319,46;Stef_15;
lin318_070;318;70;32198,64;−;;−;Stef_15;
lin318_100;318;100;22942,69;22942,69;0,00 %;364,87;Stef_15;
ali535_005;534;5;9956,77;9956,77;0,00 %;45,42;Stef_15;
ali535_025;535;25;3695,15;3695,15;0,00 %;544,26;Stef_15;
ali535_050;535;50;2461,41;2464,01;0,11 %;726,3;Stef_15;
ali535_100;535;100;1438,42;1441,26;0,20 %;637,64;Stef_15;
ali535_150;535;150;1032,28;1035,52;0,31 %;761,31;Stef_15;
u724_010;724;10;181782,96;181782,96;0,00 %;59,65;Stef_15;
u724_030;724;30;95034,01;95034,01;0,00 %;300,72;Stef_15;
u724_075;724;75;54735,05;54735,05;0,00 %;546,39;Stef_15;
u724_125;724;125;38976,76;38976,76;0,00 %;643,31;Stef_15;
u724_200;724;200;28079,97;28079,97;0,00 %;706,29;Stef_15;
rl1304_010;1304;10;2146484,1;2146484,1;0,00 %;181,66;Stef_15;
rl1304_050;1304;50;802283,41;803106,89;0,10 %;1199,98;Stef_15;
rl1304_100;1304;100;498090,74;498093,12;0,00 %;1634,18;Stef_15;
rl1304_200;1304;200;276977,6;276977,6;0,00 %;1227,78;Stef_15;
rl1304_300;1304;300;191224,85;191224,85;0,00 %;951,75;Stef_15;
pr2392_020;2392;20;2235376,73;2236720,55;0,06 %;551,82;Stef_15;
pr2392_075;2392;75;1092294,02;1094979,83;0,25 %;825,85;Stef_15;
pr2392_150;2392;150;711111,25;711128,32;0,00 %;2019,23;Stef_15;
pr2392_300;2392;300;458145,29;458157,54;0,00 %;2382,39;Stef_15;
pr2392_500;2392;500;316042,97;316046,35;0,00 %;2402,6;Stef_15;
fnl4461_0020;4,461;20;1283536,73;1283536,73;0,00 %;538,97;Stef_15;
fnl4461_0100;4,461;100;548909,01;548909,01;0,00 %;3880,37;Stef_15;
fnl4461_0250;4,461;250;335888,87;335888,87;0,00 %;4592,66;Stef_15;
fnl4461_0500;4,461;500;224662,49;224664,24;0,00 %;3912,36;Stef_15;
fnl4461_1000;4,461;1000;145862,38;145862,47;0,00 %;3433,26;Stef_15;
