exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,375175369.856295466423035,31.311840057373047,137639645.908971846103668,30.182579994201660,300,
,,375175369.856295466423035,65.596058130264282,98371543.753776967525482,41.496930122375488,,
,,375175369.856295466423035,89.572785139083862,98371543.753776967525482,51.460341930389404,,
,,375175369.856295466423035,114.298249006271362,98371543.753776967525482,62.441586971282959,,
,,87257109.687783390283585,140.265058994293213,67982424.671797782182693,90.954174041748047,,
,,87257109.687783390283585,157.329982042312622,67982424.671797782182693,99.105142116546631,,
,,87257109.687783390283585,173.566094160079956,50264170.353736251592636,113.572927951812744,,
,,54062900.279110834002495,207.477276086807251,50264170.353736251592636,126.649370908737183,,
,,54062900.279110834002495,238.438493013381958,50264170.353736251592636,137.745011091232300,,
,,50896295.284236870706081,288.298169136047363,50264170.353736251592636,160.756931066513062,,
,,50896295.284236870706081,322.409321069717407,50264170.353736251592636,178.030843973159790,,
,,50896295.284236870706081,419.204971075057983,50264170.353736251592636,195.602972030639648,,
,,50896295.284236870706081,487.035023212432861,50264170.353736251592636,215.157257080078125,,
,,50896295.284236870706081,547.507798194885254,50264170.353736251592636,247.769057989120483,,
,,50896295.284236870706081,594.085998058319092,44308051.583626218140125,275.696011066436768,,
,,45762149.857420817017555,761.455730199813843,43869025.389239497482777,545.799192905426025,,
,,43895371.704390585422516,1047.444456100463867,38926459.118907831609249,583.574901103973389,,
,,43895371.704390585422516,1132.685564041137695,38926459.118907831609249,626.855570077896118,,
,,43895371.704390585422516,1199.183557033538818,38926459.118907831609249,789.910439014434814,,
,,43895371.704390585422516,1420.631294012069702,38926459.118907831609249,835.496307134628296,,
,,43895371.704390585422516,1629.512822151184082,38926459.118907831609249,971.532499074935913,,
,,43895371.704390585422516,1953.646333217620850,38926459.118907831609249,1147.237756967544556,,
,,43895371.704390585422516,2101.706894159317017,38926459.118907831609249,1226.074532985687256,,
,,43895371.704390585422516,2434.014245986938477,38926459.118907831609249,1360.625720024108887,,
,,43895371.704390585422516,2851.162853002548218,38926459.118907831609249,1606.329244136810303,,
,,43895371.704390585422516,3383.114691019058228,38926459.118907831609249,1909.888108015060425,,
,,43895371.704390585422516,3513.848026990890503,38926459.118907831609249,2100.207597970962524,,
,,,,38926459.118907831609249,2281.880470037460327,,
,,,,38926459.118907831609249,2423.020663976669312,,
,,,,37818098.299669735133648,2457.372118949890137,,
,,,,37818098.299669735133648,2639.735692977905273,,
,,,,37818098.299669735133648,2714.501240968704224,,
,,,,37818098.299669735133648,2807.354417085647583,,
,,,,37818098.299669735133648,2897.930160045623779,,
,,,,37818098.299669735133648,2938.355164051055908,,
,,,,37818098.299669735133648,3010.982913970947266,,
,,,,37818098.299669735133648,3068.511142015457153,,
,,,,37754933.22,3200,,
