exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,228366409.020213365554810,43.898384094238281,143434204.254550129175186,30.150382995605469,300,
,,228366409.020213365554810,63.475294113159180,143434204.254550129175186,40.348850965499878,300,
,,228366409.020213365554810,83.443735122680664,143434204.254550129175186,49.132228136062622,300,
,,228366409.020213365554810,102.016065120697021,47773239.443932600319386,58.925723075866699,300,
,,44459702.238573163747787,155.397386074066162,45015977.748840451240540,86.318449974060059,300,
,,44459702.238573163747787,183.590057134628296,40117478.652016267180443,99.972759962081909,300,
,,44459702.238573163747787,240.103809118270874,40117478.652016267180443,121.646489143371582,300,
,,42787488.271718293428421,287.827025175094604,40117478.652016267180443,139.871175050735474,300,
,,42787488.271718293428421,306.164336204528809,40117478.652016267180443,208.776601076126099,300,
,,42787488.271718293428421,364.882128000259399,40117478.652016267180443,230.933699131011963,300,
,,42787488.271718293428421,408.325875043869019,40117478.652016267180443,247.822734117507935,300,
,,42787488.271718293428421,445.893233060836792,40117478.652016267180443,273.140038967132568,300,
,,42787488.271718293428421,512.556539058685303,40117478.652016267180443,289.526823043823242,300,
,,42787488.271718293428421,583.612447023391724,40117478.652016267180443,313.755121946334839,300,
,,42787488.271718293428421,637.113732099533081,36559678.255030401051044,347.416614055633545,300,
,,39215440.086390599608421,733.252061128616333,36559678.255030401051044,558.669701099395752,300,
,,39215440.086390599608421,1026.208512067794800,36559678.255030401051044,610.698316097259521,300,
,,39215440.086390599608421,1102.045507192611694,36559678.255030401051044,653.881484031677246,300,
,,37565929.415282934904099,1222.360264062881470,36559678.255030401051044,730.802942991256714,300,
,,37565929.415282934904099,1523.150228977203369,36559678.255030401051044,885.358777046203613,,
,,36760606.945798307657242,1614.688572168350220,36559678.255030401051044,939.317907094955444,,
,,36760606.945798307657242,1749.081591129302979,36559678.255030401051044,996.134171009063721,,
,,36760606.945798307657242,2028.796172142028809,36559678.255030401051044,1090.586756944656372,,
,,36760606.945798307657242,2268.390622138977051,36559678.255030401051044,1169.640604972839355,,
,,36273642.025460250675678,2501.116604089736938,36559678.255030401051044,1314.128258943557739,,
,,36273642.025460250675678,2748.690246105194092,36559678.255030401051044,1363.744174003601074,,
,,36273642.025460250675678,2854.377825021743774,36559678.255030401051044,1424.174222946166992,,
,,36273642.025460250675678,2933.474428176879883,36559678.255030401051044,1474.475867033004761,,
,,36273642.025460250675678,3037.255741119384766,36559678.255030401051044,1547.997748136520386,,
,,36273642.025460250675678,3110.804607152938843,35873213.918576084077358,1691.563505172729492,,
,,36273642.025460250675678,3204.545706033706665,34540848.392675511538982,1807.935438156127930,,
,,36273642.025460250675678,3283.978178977966309,34534762.735014945268631,2201.931347131729126,,
,,36273642.025460250675678,3433.524945974349976,34534762.735014945268631,2212.351022958755493,,
,,36273642.025460250675678,3529.339153051376343,34534762.735014945268631,2231.717831134796143,,
,,,,34534762.735014945268631,2239.346987009048462,,
,,,,34534762.735014945268631,2247.045701980590820,,
,,,,34534762.735014945268631,2253.337388992309570,,
,,,,34534762.735014945268631,2268.516844034194946,,
,,,,34534762.735014945268631,2288.797685146331787,,
,,,,34534762.735014945268631,2325.381685018539429,,
,,,,34534762.735014945268631,2610.029701948165894,,
,,,,34534762.735014945268631,2701.317692041397095,,
,,,,34534762.735014945268631,3201.713693141937256,,
,,,,34534762.735014945268631,3280.429708003997803,,
,,,,34534762.735014945268631,3311.741153955459595,,
