exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,288624998.674909889698029,54.623119831085205,261710226.147940874099731,30.052244901657104,300,
,,129412244.773359298706055,78.272660017013550,144088295.430259495973587,41.327630996704102,300,
,,129412244.773359298706055,99.023780822753906,144088295.430259495973587,53.558822870254517,300,
,,129412244.773359298706055,121.140420913696289,144088295.430259495973587,64.731330871582031,300,
,,75357623.041302397847176,186.897331953048706,103878923.056068599224091,95.896867990493774,300,
,,75357623.041302397847176,216.847679853439331,103878923.056068599224091,108.948060989379883,300,
,,75357623.041302397847176,246.256361007690430,103878923.056068599224091,132.929340839385986,300,
,,75357623.041302397847176,285.529640913009644,78876767.411781534552574,156.666115045547485,300,
,,66533868.751097843050957,336.797541856765747,73373028.001592382788658,263.524493932723999,300,
,,66533868.751097843050957,393.098212003707886,71511687.567456066608429,299.246768951416016,300,
,,66533868.751097843050957,507.070978879928589,71511687.567456066608429,338.851902961730957,300,
,,66533868.751097843050957,591.804211854934692,65704857.835456222295761,420.811112880706787,300,
,,66533868.751097843050957,661.134557008743286,65704857.835456222295761,459.197618961334229,300,
,,66533868.751097843050957,738.119092941284180,65704857.835456222295761,511.860960960388184,300,
,,66533868.751097843050957,913.340384006500244,65704857.835456222295761,545.941289901733398,300,
,,66533868.751097843050957,996.467643976211548,65704857.835456222295761,580.781991004943848,300,
,,66533868.751097843050957,1114.496469020843506,65704857.835456222295761,627.464756965637207,300,
,,66533868.751097843050957,1276.770955801010132,65704857.835456222295761,721.955027818679810,300,
,,66533868.751097843050957,1360.463390827178955,65704857.835456222295761,760.201184034347534,300,
,,66533868.751097843050957,1437.506095886230469,65704857.835456222295761,785.373070001602173,,
,,66533868.751097843050957,1547.181067943572998,65704857.835456222295761,826.958187818527222,,
,,66533868.751097843050957,1640.956381797790527,65704857.835456222295761,893.157542943954468,,
,,66533868.751097843050957,1765.748773813247681,65704857.835456222295761,937.605569839477539,,
,,66533868.751097843050957,1879.206370830535889,65704857.835456222295761,992.715965986251831,,
,,66533868.751097843050957,1986.132349967956543,65704857.835456222295761,1067.811985969543457,,
,,66533868.751097843050957,2098.823123931884766,65704857.835456222295761,1120.041302919387817,,
,,66533868.751097843050957,2242.644026994705200,65704857.835456222295761,1192.983683824539185,,
,,66533868.751097843050957,2377.759230852127075,65704857.835456222295761,1448.305517911911011,,
,,66533868.751097843050957,2533.811776876449585,65073061.957948744297028,1763.317656993865967,,
,,66533868.751097843050957,2644.824236869812012,65073061.957948744297028,2548.659857034683228,,
,,66533868.751097843050957,2894.572460889816284,65073061.957948744297028,2659.459592819213867,,
,,66533868.751097843050957,3083.251691818237305,65073061.957948744297028,2733.217289924621582,,
,,66533868.751097843050957,3348.362254858016968,,,,
