exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,time_tb,sum 
,,281427998.385120511054993,44.264804124832153,180447164.051951497793198,28.253376007080078,300,
,,89272076.841215103864670,66.125526189804077,95050262.990848213434219,39.274259090423584,300,
,,89272076.841215103864670,81.761363029479980,95050262.990848213434219,47.199242115020752,300,
,,89272076.841215103864670,100.903649091720581,95050262.990848213434219,57.821333169937134,300,
,,89272076.841215103864670,142.689910173416138,95050262.990848213434219,88.982329130172729,300,
,,89272076.841215103864670,164.585192203521729,48605988.556963473558426,101.881341218948364,300,
,,89272076.841215103864670,190.476229190826416,48605988.556963473558426,118.535139083862305,300,
,,89272076.841215103864670,244.593401193618774,48605988.556963473558426,135.765454053878784,300,
,,59730425.041847616434097,295.794631004333496,48605988.556963473558426,168.539369106292725,300,
,,59730425.041847616434097,379.437375068664551,46943693.348717488348484,208.330378055572510,300,
,,56296424.637433722615242,435.284304141998291,46943693.348717488348484,283.846722126007080,300,
,,56296424.637433722615242,498.600227117538452,46943693.348717488348484,300.923348188400269,300,
,,56296424.637433722615242,572.860796213150024,46943693.348717488348484,343.995380163192749,300,
,,56296424.637433722615242,616.852795124053955,46943693.348717488348484,372.878811120986938,300,
,,56296424.637433722615242,670.896007061004639,46943693.348717488348484,401.258807182312012,300,
,,56296424.637433722615242,730.113372087478638,46943693.348717488348484,430.238903045654297,300,
,,48983916.232815057039261,786.564472198486328,46943693.348717488348484,461.534237146377563,300,
,,48983916.232815057039261,1066.081651210784912,46943693.348717488348484,504.089680194854736,300,
,,48983916.232815057039261,1133.847039222717285,46943693.348717488348484,634.356759071350098,300,
,,48983916.232815057039261,1234.845598220825195,46943693.348717488348484,1081.502027034759521,,
,,48983916.232815057039261,1836.319843053817749,46943693.348717488348484,1169.382091045379639,,
,,48983916.232815057039261,1966.796492099761963,46943693.348717488348484,1243.838077068328857,,
,,48983916.232815057039261,2138.161846160888672,46943693.348717488348484,1300.451562166213989,,
,,48983916.232815057039261,2262.211997032165527,46677801.581647910177708,1350.759168148040771,,
,,46923243.613000743091106,2487.659161090850830,46461391.630867503583431,1538.539591073989868,,
,,46923243.613000743091106,3051.557792186737061,46461391.630867503583431,1584.299071073532104,,
,,46923243.613000743091106,3171.731342077255249,46461391.630867503583431,1659.934446096420288,,
,,46923243.613000743091106,3512.919070005416870,46414496.470501959323883,1849.487853050231934,,
,,,,46414496.470501959323883,1909.151135206222534,,
,,,,46414496.470501959323883,1982.338200092315674,,
,,,,46414496.470501959323883,2063.422342061996460,,
,,,,46414496.470501959323883,2114.714103221893311,,
,,,,43681068.595879927277565,2169.683833122253418,,
,,,,42971721.236170835793018,2452.599658012390137,,
,,,,42971721.236170835793018,2506.009643077850342,,
,,,,42971721.236170835793018,2551.809049129486084,,
,,,,42971721.236170835793018,2693.725877046585083,,
,,,,42971721.236170835793018,2758.542743206024170,,
,,,,42799737.85,3100,,
