CPMP;Cont;2392;2392;300;EXACT_CPMP;Feasible;574412.017653590650298;0;0.224229810285887;7082.859999999999673;3607.441630125045776;
CPMP;Cont;1304;1304;300;EXACT_CPMP;Feasible;186581.938109672424616;4245;0.017365637458173;13174.609999999998763;3602.841151952743530;
CPMP;Cont;2392;2392;150;EXACT_CPMP;Feasible;937452.915498170419596;0;0.359838920617803;7243.509999999999309;3609.129272937774658;
CPMP;Cont;2392;2392;500;EXACT_CPMP;Feasible;401095.611152686178684;0;0.234672839152797;8934.930000000000291;3602.448973894119263;
CPMP;Cont;1304;1304;50;EXACT_CPMP;Feasible;909955.579482476343401;0;0.178913860725108;8286.930000000000291;3601.932465076446533;
CPMP;Cont;724;724;75;EXACT_CPMP;Feasible;54610.651364171360910;3430;0.003395250069913;12523.300000000001091;3611.617518901824951;
CPMP;Bin;318;254;40;RSSV_EXACT_CPMP_BIN;Feasible;48005.765788126751431;379863;0.003492096492583;14103.319999999999709;3544.337713003158569;
CPMP;Bin;318;254;70;RSSV_EXACT_CPMP_BIN;Optimal;32388.104979078190809;18038;0.000098784864359;9260.180000000000291;2362.520684003829956;
CPMP;Bin;318;254;5;RSSV_EXACT_CPMP_BIN;Optimal;180281.205077174992766;29;0.000074521880822;3377.539999999999964;958.089858055114746;
CPMP;Bin;318;254;100;RSSV_EXACT_CPMP_BIN;Optimal;23307.570311566418241;61690;0.000099962164225;9149.000000000000000;2333.473701953887939;
CPMP;Cont;724;724;10;EXACT_CPMP;Feasible;197394.715485910710413;0;0.088103520637838;7272.989999999999782;3600.624181985855103;
CPMP;Cont;318;318;5;EXACT_CPMP;Optimal;180174.882306142069865;4639;0.000098008808760;8079.130000000000109;2222.562242031097412;
CPMP;Cont;1304;1304;100;EXACT_CPMP;Feasible;497601.644359374884516;41;0.003906321399246;8649.339999999998327;3624.680576086044312;
CPMP;Cont;318;318;15;EXACT_CPMP;Feasible;88747.568592708121287;21889;0.003141533280032;12990.309999999999491;3601.641840934753418;
CPMP;Cont;724;724;200;EXACT_CPMP;Feasible;27097.275306198098406;25594;0.010090581172710;13990.399999999999636;3604.375566005706787;
CPMP;Cont;2392;2392;75;EXACT_CPMP;Feasible;1403657.624403934460133;0;0.460733661612247;7626.149999999999636;3604.987620115280151;
CPMP;Cont;1304;1304;200;EXACT_CPMP;Feasible;274993.709827947721351;509;0.008860112997772;10994.680000000000291;3646.048154830932617;
CPMP;Cont;724;724;30;EXACT_CPMP;Feasible;95021.127610738214571;149;0.003906042296918;9560.139999999999418;3610.808402776718140;
CPMP;Cont;2392;2392;20;EXACT_CPMP;Feasible;3001949.995929821394384;0;0.702106640420152;7689.260000000000218;3641.176964998245239;
CPMP;Bin;318;254;15;RSSV_EXACT_CPMP_BIN;Optimal;88901.563064465139178;64769;0.000099721806450;9207.469999999999345;2366.090976953506470;
CPMP;Cont;318;318;70;EXACT_CPMP;Feasible;31522.213742531879689;144096;0.001303720662698;13811.729999999999563;3601.440083026885986;
CPMP;Cont;724;724;125;EXACT_CPMP;Feasible;38579.739343884139089;5423;0.007322747835493;12799.209999999999127;3635.798629999160767;
CPMP;Cont;1304;1304;10;EXACT_CPMP;Feasible;2387677.403686809353530;0;0.463557768218306;7964.979999999999563;3601.471994161605835;
CPMP;Cont;318;318;40;EXACT_CPMP;Feasible;47801.968924778506334;60242;0.008668211300433;13156.229999999999563;3602.180119037628174;
CPMP;Bin;2392;1435;20;RSSV_EXACT_CPMP_BIN;Feasible;2758132.972336713224649;0;0.556183775874354;7314.280000000000655;3292.159389019012451;
CPMP;Cont;318;318;100;EXACT_CPMP;Feasible;21121.360552864447527;93589;0.017163377222014;13517.649999999999636;3604.540438175201416;
