METHOD,SERVICE,SUBAREA,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME,BEST_BOUND_EXACT,GAP_REAL
rssv_exact,urgenc,canton,42,53196031.0810349,Feasible,0.060704743635104,3292.0373301506,,
rssv_exact,urgenc,canton,48,50318173.8942727,Feasible,0.079942615940555,3291.06583094597,,
rssv_exact,urgenc,canton,54,48945365.1923601,Feasible,0.106929888605153,3293.74084091187,,
rssv_exact,urgenc,canton,60,44837178.4683536,Feasible,0.063164404413225,3301.50670599937,,
rssv_exact,urgenc,canton,66,41518593.1541708,Feasible,0.023386373414694,3285.93182611465,,
rssv_exact,urgenc,canton,72,40504867.5834236,Feasible,0.03718983541128,3299.53467011452,,
rssv_exact,urgenc,canton,78,37887809.4586212,Feasible,0.001910618918112,3317.39174318314,,
rssv_exact,urgenc,commune,42,54758227.7364966,Feasible,0.1484850023896,3292.15197587013,,
rssv_exact,urgenc,commune,48,48709237.9117001,Feasible,0.041096866455855,3288.27089500427,,
rssv_exact,urgenc,commune,54,45349743.4489799,Feasible,0.016245781815192,3290.83300113678,,
rssv_exact,urgenc,commune,60,45605896.8273594,Feasible,0.006551705675214,3288.60567879677,,
rssv_exact,urgenc,commune,66,41513086.3280674,Feasible,0.014826692776505,3288.82416200638,,
rssv_exact,urgenc,commune,72,40643013.735384,Feasible,0.006348051626372,3285.49591684341,,
rssv_exact,urgenc,commune,78,38834404.4847661,Feasible,0.004976434523805,3289.35998892784,,
rssv_exact,lycee,null,246,39667481.0471649,Feasible,0.000172744208899,3600,,
rssv_exact,lycee,null,281,36520591.410118,Optimal,0.000097360715724,2184.68094992638,,
rssv_exact,lycee,null,316,31353769.2945639,Optimal,0.000099424486618,2032.29182219505,,
rssv_exact,lycee,null,352,27245686.0388513,Optimal,0.000082263133492,1807.33020210266,,
rssv_exact,lycee,null,387,26537297.9696326,Optimal,0.000096969108119,931.339228153229,,
rssv_exact,lycee,null,422,25975686.4862816,Optimal,0.000099752999201,1362.9801158905,,
rssv_exact,lycee,null,457,25517981.0713459,Optimal,0.00009109414253,417.554728984833,,
rssv_exact,lycee,arrond,246,40682774.1102763,Feasible,0.000140974963697,3302.311439991,,
rssv_exact,lycee,arrond,281,36935791.9764897,Optimal,0.000099911774793,1817.19595503807,,
rssv_exact,lycee,arrond,316,31571339.9714529,Optimal,0.000099207652978,2665.0556268692,,
rssv_exact,lycee,arrond,352,27271261.5516691,Optimal,0.000097394302814,1733.28811693192,,
rssv_exact,lycee,arrond,387,26537598.9471521,Optimal,0.000079492187728,866.288951873779,,
rssv_exact,lycee,arrond,422,25975894.0200712,Optimal,0.000099693535665,1474.97752189636,,
rssv_exact,lycee,arrond,457,25517327.1211991,Optimal,0.000000270367405,1070.34767913818,,
rssv_exact,lycee,EPCI,246,39428622.6819825,Optimal,0.00004842705484,1569.67688798904,,
rssv_exact,lycee,EPCI,281,35248472.9834919,Feasible,0.000130121498682,3373.61187505722,,
rssv_exact,lycee,EPCI,316,31387796.9396243,Optimal,0.000099922883336,2743.92614507675,,
rssv_exact,lycee,EPCI,352,27271087.6909999,Optimal,0.000086358040875,1405.97416400909,,
rssv_exact,lycee,EPCI,387,26537306.1004605,Optimal,0.000093872765586,1002.68835401535,,
rssv_exact,lycee,EPCI,422,25975686.4862818,Optimal,0.00009888263905,1450.20058012009,,
rssv_exact,lycee,EPCI,457,25517914.7147414,Optimal,0.000070367024017,967.714418172836,,
rssv_exact,lycee,canton,246,39720187.8460729,Optimal,0.000091124629587,1973.29864215851,,
rssv_exact,lycee,canton,281,34347047.2243373,Optimal,0.00009378682978,527.232881069183,,
rssv_exact,lycee,canton,316,30296443.2335413,Optimal,0.000060730724936,1502.82074093819,,
rssv_exact,lycee,canton,352,27992965.7271354,Optimal,0.000099523798949,749.015474081039,,
rssv_exact,lycee,canton,387,27053799.9742615,Optimal,0.000099499338432,1420.91315293312,,
rssv_exact,lycee,canton,422,26324801.8791376,Optimal,0.000094996340157,1233.02197003365,,
rssv_exact,lycee,canton,457,25760763.34678,Optimal,0.000092566829761,375.65527009964,,
rssv_exact,lycee,commune,246,50791443.9014358,Optimal,0.000056996247801,571.494005918503,,
rssv_exact,lycee,commune,281,41837316.903944,Optimal,0.000093017839097,323.127520084381,,
rssv_exact,lycee,commune,316,38088132.8298981,Optimal,0.00004337535251,721.305217981339,,
rssv_exact,lycee,commune,352,36268788.269037,Optimal,0.000013699447653,943.741905927658,,
rssv_exact,lycee,commune,387,35895870.9245678,Optimal,0.000057606128734,780.809258937836,,
rssv_exact,lycee,commune,422,35612428.0970513,Optimal,0.000087219425779,350.42741894722,,
rssv_exact,lycee,commune,457,35402160.2728106,Optimal,0.000066545209807,431.343123912811,,
rssv_exact,poste,null,476,77586186.5533859,Optimal,0.000099783770055,1106.59789609909,,
rssv_exact,poste,null,544,76685115.1666766,Optimal,0.000059181654341,629.444697856903,,
rssv_exact,poste,null,612,76065352.9928549,Optimal,0.000051759963203,429.617215156555,,
rssv_exact,poste,null,681,75658244.6615212,Optimal,0.000022103155168,334.803302049637,,
rssv_exact,poste,null,749,75389646.1420871,Optimal,0.000025471350868,406.126991033554,,
rssv_exact,poste,null,817,75223538.0608871,Optimal,0.000066253619299,258.03724694252,,
rssv_exact,poste,null,855,75122716.7981765,Optimal,0.000041886526288,167.104943990707,,
rssv_exact,poste,arrond,476,77583619.7396125,Optimal,0.000064288404541,1045.29420590401,,
rssv_exact,poste,arrond,544,76686229.6814209,Optimal,0.000075263222825,899.170614957809,,
rssv_exact,poste,arrond,612,76066578.4054013,Optimal,0.000052347052228,839.212047815323,,
rssv_exact,poste,arrond,681,75658244.6615213,Optimal,0.000022087649333,253.963569879532,,
rssv_exact,poste,arrond,749,75389705.8532307,Optimal,0.000027049883183,421.146641016007,,
rssv_exact,poste,arrond,817,75225571.816153,Optimal,0.000092232806019,288.322588920593,,
rssv_exact,poste,arrond,855,75122765.713626,Optimal,0.000046870586995,254.446610927582,,
rssv_exact,poste,EPCI,476,77581663.9664978,Optimal,0.000036826172959,777.15796995163,,
rssv_exact,poste,EPCI,544,76687884.7700396,Optimal,0.000088218756021,839.163645029068,,
rssv_exact,poste,EPCI,612,76064741.7003939,Optimal,0.000041964607264,411.313290834427,,
rssv_exact,poste,EPCI,681,75658232.1917872,Optimal,0.000021953135919,398.584399938583,,
rssv_exact,poste,EPCI,749,75389788.5022954,Optimal,0.000027155536209,483.664156198502,,
rssv_exact,poste,EPCI,817,75226062.237109,Optimal,0.000098732637618,316.03990483284,,
rssv_exact,poste,EPCI,855,75124796.5951474,Optimal,0.000078536562187,224.72109913826,,
rssv_exact,poste,canton,476,77936147.467772,Optimal,0.000061830799903,1277.22318100929,,
rssv_exact,poste,canton,544,76894368.9198966,Optimal,0.000091659268918,389.893121004105,,
rssv_exact,poste,canton,612,76191624.0540859,Optimal,0.000075782264664,666.022518873215,,
rssv_exact,poste,canton,681,75734949.9785929,Optimal,0.000077173422511,406.432087898254,,
rssv_exact,poste,canton,749,75439446.2886499,Optimal,0.000029581604348,380.746613025665,,
rssv_exact,poste,canton,817,75249025.6402073,Optimal,0.000017636093428,368.778753042221,,
rssv_exact,poste,canton,855,75140712.2000611,Optimal,0.000068644227709,234.883181095123,,
rssv_exact,poste,commune,476,86473594.6268166,Optimal,0.000066246936131,344.655544996262,,
rssv_exact,poste,commune,544,86178481.9823044,Optimal,0.000086982496617,407.738034009934,,
rssv_exact,poste,commune,612,86049772.634319,Optimal,0.000096971138144,528.524393081665,,
rssv_exact,poste,commune,681,86001453.5802925,Optimal,0.000086334484482,383.019272089005,,
rssv_exact,poste,commune,749,85998732.3944552,Optimal,0.000086363300528,313.481973171234,,
rssv_exact,poste,commune,817,85997796.5305469,Optimal,0.000088805233333,230.175737142563,,
rssv_exact,poste,commune,855,85997216.9104794,Optimal,0.00008953321898,360.909904956818,,
exact,mat,kmeans_arrond,26,90872847.754048109054565,Feasible,0.225523896421494,3601.441071987152100,,
exact,mat,kmeans_arrond,30,73200561.286668062210083,Feasible,0.251925015615006,3601.182978153228760,,
exact,mat,kmeans_arrond,33,120254635.789270475506783,Feasible,0.567436694803877,3602.853021860122681,,
exact,mat,kmeans_arrond,37,57025644.737917967140675,Feasible,0.243212242620395,3601.352410793304443,,
exact,mat,kmeans_arrond,41,52671968.409922286868095,Feasible,0.219331114675079,3601.187741994857788,,
exact,mat,kmeans_arrond,44,54909348.632214933633804,Feasible,0.284076974054155,3604.537795066833496,,
exact,mat,kmeans_arrond,48,43008109.234185181558132,Feasible,0.142774088333447,3601.237919092178345,,
exact,mat,kmeans_EPCI,26,79072992.075526088476181,Feasible,0.122042660764062,3601.218733072280884,,
exact,mat,kmeans_EPCI,30,76137602.884121969342232,Feasible,0.094895066557403,3601.116226911544800,,
exact,mat,kmeans_EPCI,33,72328944.241488665342331,Feasible,0.075985697111261,3601.145534992218018,,
exact,mat,kmeans_EPCI,37,73307045.115932732820511,Feasible,0.080259659883470,3602.212616920471191,,
exact,mat,kmeans_EPCI,41,72297591.245535537600517,Feasible,0.072099123162733,3605.147659063339233,,
exact,mat,kmeans_EPCI,44,67874526.020077019929886,Feasible,0.013765820059975,3604.144277095794678,,
exact,mat,kmeans_EPCI,48,67361707.421666622161865,Feasible,0.010410614307792,3601.288950920104980,,
exact,mat,kmeans_canton,26,70628252.256230995059013,Feasible,0.176537754185210,3601.358035087585449,,
exact,mat,kmeans_canton,30,64543032.176587544381618,Feasible,0.204289828656253,3603.488929986953735,,
exact,mat,kmeans_canton,33,62562551.420405775308609,Feasible,0.217218693083518,3601.113391876220703,,
exact,mat,kmeans_canton,37,55386700.254916831851006,Feasible,0.124719355658125,3601.188861846923828,,
exact,mat,kmeans_canton,41,51494510.844355657696724,Feasible,0.115028907514739,3601.165152072906494,,
exact,mat,kmeans_canton,44,49132229.954694099724293,Feasible,0.106236166119521,3601.663307905197144,,
exact,mat,kmeans_canton,48,48649511.155459463596344,Feasible,0.110842277563635,3602.519621133804321,,
exact,mat,kmeans_commune,26,65450203.845621928572655,Feasible,0.093242436052033,3613.610913038253784,,
