METHOD,SERVICE,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME
rssv_exact,urgenc,42,46843227.3337865,Feasible,0.177208928023294,3600
rssv_exact,urgenc,48,42675678.9614682,Feasible,0.16775571341703,3600
rssv_exact,urgenc,54,36899542.6051624,Feasible,0.0345856418270903,3600
rssv_exact,urgenc,60,34534762.7350149,Feasible,0.0190868123731779,3600
rssv_exact,urgenc,66,32762029.3463318,Feasible,0.029588797886747,3600
rssv_exact,urgenc,72,30944834.6910004,Feasible,0.0485771538299957,3600
rssv_exact,urgenc,78,29444834.3303639,Feasible,0.0334271522956113,3600
rssv_vns,urgenc,42,105245324.086308,Feasible,0.633787158076424,3606
rssv_vns,urgenc,48,99214448.7407968,Feasible,0.642021999391237,3607
rssv_vns,urgenc,54,93392921.3665483,Feasible,0.618564793564789,3607
rssv_vns,urgenc,60,84165137.2657546,Feasible,0.597511491164232,3607
rssv_vns,urgenc,66,76434404.6652413,Feasible,0.584053275211793,3610
rssv_vns,urgenc,72,77925717.6377907,Feasible,0.622183489758535,3607
rssv_vns,urgenc,78,73437423.8262798,Feasible,0.612451310435279,3607
rssv_tb,urgenc,42,99947733.1221621,Feasible,0.614376554336593,3609
rssv_tb,urgenc,48,100601681.45949,Feasible,0.646958286616387,3606
rssv_tb,urgenc,54,96716162.9860922,Feasible,0.631671200126504,3610
rssv_tb,urgenc,60,80327300.0279186,Feasible,0.578281568133169,3611
rssv_tb,urgenc,66,76462918.8790525,Feasible,0.584208388226292,3610
rssv_tb,urgenc,72,76746798.9526827,Feasible,0.616379795669084,3606
rssv_tb,urgenc,78,74053939.2793256,Feasible,0.615677739147235,3611
