serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
mat,37,arrond,RSSV_EXACT_CPMP,1437.0,32.03857534067146,19.728221567618096,0.0,17.2607325095,28.0928864644,42.5760291204,105.92251028
mat,37,EPCI,RSSV_EXACT_CPMP,1428.0,29.889058995537418,17.979774098540773,0.0,16.66454524925,26.6530182235,39.526294998975004,96.2095115735
mat,37,canton,RSSV_EXACT_CPMP,1436.0,33.44579349704399,22.724543502273683,0.0,16.096500508275,27.990939680350003,45.8214304796,118.603631113
mat,37,commune,RSSV_EXACT_CPMP,1433.0,31.004133805018196,19.731225347563964,0.0,15.7769516363,26.9187374267,42.3172676639,102.024604759
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
urgenc,60,arrond,RSSV_EXACT_CPMP,1436.0,23.93029878895621,14.77603457193398,0.0,13.041200578475,21.30093340585,32.7684043334,103.35647946
urgenc,60,EPCI,RSSV_EXACT_CPMP,1441.0,21.62641629764042,12.68717923209865,0.0,12.7697204633,19.5111726322,28.0757957386,82.3995852765
urgenc,60,canton,RSSV_EXACT_CPMP,1439.0,27.237514503266283,18.539265281747358,0.0,13.48723452555,23.4196503885,37.3592282586,99.2531145208
urgenc,60,commune,RSSV_EXACT_CPMP,1443.0,24.904637413501764,16.553182423813084,0.0,12.867956921849999,20.7883650809,34.1977929055,124.716658874
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
lycee,352,arrond,RSSV_EXACT_CPMP,1540.0,12.044421311349142,9.710161736805752,0.0,5.23414712939,10.878002506249999,17.621004837500003,65.250266374
lycee,352,EPCI,RSSV_EXACT_CPMP,1541.0,12.009663346501828,9.700050581846433,0.0,5.22326541509,10.8293693123,17.551980901,65.250266374
lycee,352,canton,RSSV_EXACT_CPMP,1533.0,11.611888973301458,9.237572929098746,0.0,5.23777436749,10.7874322828,16.7710690233,65.250266374
lycee,352,commune,RSSV_EXACT_CPMP,1525.0,11.316047327777495,8.907151631033848,0.0,4.95640667801,10.5319331738,16.6094426364,65.250266374
serv,p,cover,method,count,mean,std,min,25%,50%,75%,max
poste,681,arrond,RSSV_EXACT_CPMP,1828.0,10.178338350860884,10.715032673015438,0.0,0.0,8.992512348695,15.839987409875,61.711933275
poste,681,EPCI,RSSV_EXACT_CPMP,1825.0,10.203922250750944,10.749541656767795,0.0,0.0,8.96114688261,15.9097806978,61.711933275
poste,681,canton,RSSV_EXACT_CPMP,1830.0,10.119829998136662,10.638694523233127,0.0,0.0,8.912158852985,15.79911798305,61.711933275
poste,681,commune,RSSV_EXACT_CPMP,1723.0,10.024285164621515,11.442727995334169,0.0,0.0,8.27865625426,15.468510657549999,62.9887475001
